,Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
13269,0.4,0.0,0.73,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,pos hp,goods
13270,0.5,0.0,0.53,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.83,pos hp,goodvibes
13271,0.33,0.0,0.67,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.94,pos hp,goodwill
13272,0.34,0.0,0.57,POSITIVE,NOUN,NOUN,PROPN,1.0,0.0,0.79,pos hp,goody
13273,0.33,0.0,0.58,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.74,pos hp,gospel
13274,0.39,0.0,0.56,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.91,pos hp,gourmet
13275,0.36,0.0,0.6,POSITIVE,NOUN,PROPN,INTJ,1.0,0.0,0.83,pos hp,gracias
13276,0.35,0.51,0.68,POSITIVE,ADV,ADV,ADV,1.0,0.0,0.95,pos hp,graciously
13277,0.36,0.0,0.6,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.7,pos hp,grade
13278,0.34,0.0,0.76,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.56,pos hp,graded
13279,0.35,0.0,0.57,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.52,pos hp,grades
13280,0.35,0.0,0.51,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.57,pos hp,gradual
13281,0.29,0.0,0.61,POSITIVE,NOUN,X,NOUN,1.0,0.0,0.56,pos hp,grammar
13282,0.28,0.0,0.59,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.83,pos hp,grandfather
13283,0.33,0.0,0.5,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.78,pos hp,grandson
13284,0.38,0.36,0.67,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.72,pos hp,grant
13285,0.35,0.25,0.78,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.88,pos hp,granted
13286,0.48,0.0,0.71,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.86,pos hp,grantee
13287,0.5,0.0,0.72,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.54,pos hp,grantor
13288,0.29,0.0,0.62,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.51,pos hp,graph
13289,0.43,0.0,0.51,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.54,pos hp,graphics
13290,0.35,0.46,0.56,POSITIVE,NOUN,ADJ,ADJ,2.0,0.0,0.96,pos hp,grateful
13291,0.44,0.51,0.61,POSITIVE,NOUN,PROPN,NOUN,2.0,0.0,0.89,pos hp,gratitude
13292,0.42,0.62,0.59,POSITIVE,ADJ,ADJ,ADJ,2.0,0.75,0.9,pos hp,great aunt
13293,0.24,0.62,0.57,POSITIVE,ADJ,PROPN,ADJ,2.0,0.75,0.73,pos hp,great grandfather
13294,0.24,0.62,0.55,POSITIVE,ADJ,ADJ,ADJ,2.0,0.75,0.8,pos hp,great grandmother
13295,0.28,0.62,0.6,POSITIVE,ADJ,PROPN,ADJ,2.0,0.75,0.86,pos hp,great grandpa
13296,0.4,0.62,0.62,POSITIVE,ADJ,ADJ,ADJ,2.0,0.75,0.73,pos hp,great uncle
13297,0.35,0.0,0.57,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.92,pos hp,greatnight
13298,0.47,0.0,0.53,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.55,pos hp,gregarious
13299,0.49,0.0,0.55,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.76,pos hp,grill
